Titlu	Autor	communal_coef	aesthetic_coef	dark_coef	thrilling_coef	cerebral_coef	Link	Description
Minunea	R.J. Palacio,	10	3	2	3	3	https://www.goodreads.com/book/show/17973471-minunea?from_search=true&from_srp=true&qid=QUKlZT5UR3&rank=1	August Pullman este un băiat de zece ani care a avut ghinionul de a se naşte cu o teribilă diformitate facială. Pentru a-l proteja de privirile şi vorbele răutăcioase ale oamenilor, părinţii săi îl educă acasă, dar într-o zi hotărăsc că a venit vremea ca Auggie să meargă la şcoală. Minunea este o poveste emoţionantă despre curaj şi bunătate, despre integrare şi acceptare, scrisă cu sensibilitate şi umor. „Nu judeca după aparenţe" pare să fie ideea de la care porneşte R.J. Palacio, iar una dintre cheile de lectură este dată de replica vulpiţei din Micul prinţ: „Nu poţi vedea bine decât cu inima. Esenţialul e invizibil pentru ochi."
Marele Gatsby	F. Scott Fitzgerald	7	5	1	3	3	https://www.goodreads.com/book/show/8285325-marele-gatsby?from_search=true&from_srp=true&qid=NdG4JuuScc&rank=1	„Marele Gatsby este o explorare a Visului American, asa cum apare acesta intr-o vreme corupta, si, totodata, o incercare de a descoperi granita ascunsa care desparte realitatea de iluzie. Aici, iluziile par mai reale decit realitatea insasi. Intrupate in personajele secundare ale romanului, ele ameninta sa invadeze intregul peisaj. Pe de alta parte, realitatea este intrupata si de catre Gatsby insusi; iar in masura in care se opune iluziilor tangibile, tari, ea apartine spiritului, fiind mai degraba promisiunea decit luarea in posesie a unei viziuni, credinta in posibilitatile vietii, intrezarite, dar niciodata intelese. In America lui Gatsby, realitatea nu este definita in sine. Ea apare lipsita de articulatii si frustrata.” - Marius Bewley
Mănâncă, roagă-te, iubeşte	Elizabeth Gilbert 	10	7	1	1	6	https://www.goodreads.com/book/show/12866095-m-n-nc-roag--te-iube-te?from_search=true&from_srp=true&qid=PQvR5fOfvU&rank=1	La 30 de ani, Elizabeth Gilbert are tot ce-si poate dori o femeie ambitioasa. Si totusi e asaltata de indoieli, sufera de panica si insatisfactii. Urmeaza divortul, prabusirea in depresie, o relatie catastrofala... Asa ca Liz abandoneaza totul si pleaca in lume de una singura. In Italia, gusta la dolce vita si deliciile ei culinare, punand pe ea "cele mai fericite 12 kilograme din toata viata". In India, afla intr-un ashram, prin asceza (trezire la 4 dimineata, meditatie si frecat de podele), ce este cautarea spirituala. In Indonezia, incearca sa-si reconcilieze trupul cu sufletul, sa descopere echilibrul care se cheama fericire - si isi gaseste marea dragoste. Uneori, fericirea se afla la capatul lumii. Calatoresti ca sa ajungi la tine insati. Ca sa te descoperi.
The simplicity survival handbook	Bill Jensen 	3	3	1	1	10	https://www.goodreads.com/book/show/587903.The_Simplicity_Survival_Handbook?from_search=true&from_srp=true&qid=eKd1lor0ce&rank=1	In a world of more-better-faster, the challenges and stresses have never been greater: too much to do, not enough time. And in an economy where worker talent (know-how, energy, attention, commitment, and creativity) is at a premium, everyone is trying to maximize personal productivity. In The Simplicity Survival Handbook, Bill Jensen offers the antidote you're seeking: a practical guide to doing less in a world of more, and making it count. From "How to Write Shorter Emails for Better Results" to "How to Use Your Mentor to Help You Do Less," Jensen offers step-by-step strategies, tactics, and techniques for communicating more effectively, setting priorities, and balancing the competing demands on your time, while avoiding the time-sinkers. He takes on corporate foolishness, walking you through how to be more productive and take greater control of your workday and, by extension, your life.
Maitreyi	Mircea Eliade	9	6	3	1	4	https://www.goodreads.com/book/show/817199.Maitreyi?from_search=true&from_srp=true&qid=imJg5BwmzN&rank=1	A vibrantly poetic love story, Bengal Nights is also a cruel account of the wreckage left in the wake of a young man's self discovery. At once horrifying and deeply moving, Eliade's story repeats the patterns of European engagement with India even as it exposes and condemns them. Invaluable for the insight it offers into Eliade's life and thought, it is a work of great intellectual and emotional power.
O zi de decembrie	Josie Silver	10	3	2	3	1	https://www.goodreads.com/book/show/42392453-o-zi-de-decembrie?from_search=true&from_srp=true&qid=Wpjgn3D2L4&rank=1	Laurie e convinsă că dragostea la prima vedere e un mit. Dar, într-o zi de decembrie, printr-o ninsoare puternică, zărește din autobuz un bărbat și știe imediat că l-a găsit pe EL. Convinsă că îi e sortit să-l revadă, își petrece un an de zile căutându-l prin toate cafenelele din Londra. Nu îl găsește, în schimb, îl reîntâlnește la o petrecere de Crăciun, când cea mai bună prietenă i-l prezintă ca pe noul ei iubit, Jack, bărbatul din stația de autobuz.
Suflete în furtună	Mia Sheridan	10	3	5	8	1	https://www.goodreads.com/book/show/59236528-suflete-n-furtun?from_search=true&from_srp=true&qid=7DH7hSIBZv&rank=1	Dane a fost pentru ea primul bărbat pe care l-a sărutat și singurul pe care l-a iubit vreodată ‒ însă căsnicia lor s-a stins înainte chiar de a începe cu adevărat, lăsând răni profunde și dureri neplânse. Acum, Audra a reușit să își croiască o viață tihnită și retrasă, ocupându-se de o florărie în care și-a pus tot sufletul și tot talentul. Situația se schimbă însă când Dane intră din nou, în mod neașteptat, în viața ei, la fel de fermecător ca întotdeauna și încă reușind să o tulbure mai mult decât a făcut-o vreodată cineva. Va reuși să se încreadă din nou în el, mai ales când de asta ar putea depinde propria… viață? Când Dane se oferă se piloteze propriul avion pentru a o duce pe fosta soție din California în Colorado și a îndrepta o nedreptate a cărei victimă fusese chiar Audra, nu s-a gândit nici o clipă la groaznica întorsătură pe care o vor lua lucrurile și la pericolele pe care le vor avea de înfruntat împreună. Avionul lor se prăbușește însă într-o zonă muntoasă izolată înzăpezită, astfel că cei doi se văd nevoiți să se bazeze doar pe propriile forțe ‒ și unul pe altul. Oare această a doua mare încercare prin care trec Dane și Audra le va aduce sfârșitul sau le va salva sufletul ‒ și iubirea?
Monte Cassino	Sven Hassel	1	1	5	10	1	https://www.goodreads.com/book/show/1058610.Monte_Cassino?ac=1&from_search=true&qid=YV0zlvhWLf&rank=1	It's clear why Sven Hassell's books have sold millions. From a no-holds barred description of frontline combat to accounts of partisan attacks and adventures in Rome on leave, his World War II story is a classic. Here, Sven and his comrades who have survived the deadly fighting on the Russian front are posted to Italy, where the armies are locked in battle around the ancient hilltop of Monte Cassino. In the face of overwhelming Allied firepower, Sven and his fellow soldiers cling to the mountainside, knowing they cannot defy the odds forever.
Elevul Dima dintr-a șaptea	Mihail Drumeş	10	3	1	4	1	https://www.goodreads.com/book/show/58078740-elevul-dima-dintr-a-aptea?from_search=true&from_srp=true&qid=oftlYN1cyt&rank=1	Publicat pentru prima data în 1946, Elevul Dima dintr-a șaptea nu și-a pierdut niciun moment farmecul. Povestea de dragoste dintre Grig și Lotte, spiritul aventuros, idealismul, impertinența, naivitatea și entuziasmul tinerilor din romanul lui Drumeș rămân la fel de actualitate. Asemena tuturor adolescenților, Dima, Tarzan, Magotu, Basu și toți ceilalți visează și trăiesc totul la intensitate maximă. Planuri pentru o expediție spectaculoasă, conflicte cu profesorii, drame interioare, iubiri pasionale, toate acestea sunt surprinse și descrise de Mihail Drumeș cu naturalețe și talent, fascinând generații întregi de cititori
Am fost medic la Auschwitz	Miklós Nyiszli	3	1	8	4	4	https://www.goodreads.com/book/show/16109871-am-fost-medic-la-auschwitz?from_search=true&from_srp=true&qid=4rEwhMeGbA&rank=1	La Oradea într-o după-amiază aprinsă din mai 1944, medicul de origine evreiască Nyiszli Miklós, împreună cu soția și fiica ajung la Auschwitz. În timpul selecției inițiale, Nyiszli și familia sa ajung printre oamenii capabili să lucreze și, prin urmare, nu sunt direcționați către camerele de gaz. Este scutit de moarte pentru o soartă mai grea: să efectueze „cercetări științifice” asupra colegilor săi deținuți sub supravegherea medicului militar, căpitanul SS, Josef Mengele. În timpul muncii sale, devine martor ocular și participant involuntar la exterminarea a mii de oameni. În mod miraculos, supraviețuiește pentru a da această relatare terifian­tă. Scrisă în 1946, la scurt timp după sfârșitul celui de-al doilea război mondial, cartea lui Nyiszli Miklós a fost una dintre primele cărți care au povestit ororile de la Auschwitz.
Ipoteza Fericirii	Jonathan Haidt	3	5	1	1	8	https://www.goodreads.com/book/show/55467063-ipoteza-fericirii?from_search=true&from_srp=true&qid=zrF8pXRbvo&rank=1	Ipoteza fericirii este o carte despre cum ne putem găsi un sens în viaţă asimilând sfaturile vechii înţelepciuni şi adoptând descoperirile psihologiei moderne. Haidt pune în discuţie unele dintre concepţiile populare despre originea fericirii, despre rolul reciprocităţii şi despre contribuţia raţiunii la luarea deciziilor. Aflăm astfel de ce, de multe ori, virtutea nu îşi este propria răsplată, de ce extrovertiţii sunt de fapt mai fericiţi decât introvertiţii şi de ce gândirea conştientă nu e atât de importantă cum ne-ar plăcea să credem. Inspirându-se atât din filozofie, cât şi din ştiinţă, Ipoteza fericirii ne arată cum am putea deveni mai buni, mai echilibraţi şi mai fericiţi.
Legendele Olimpului	Alexandru Mitru	2	8	3	6	5	https://www.goodreads.com/book/show/6121380-legendele-olimpului-vol-i-ii?from_search=true&from_srp=true&qid=5Lb85sTB1s&rank=1	Legendele si povestile apartin tuturor. Importanta este insa talmacirea lor, iar Alexandru Mitru ne-a oferit o versiune minunata, de neuitat si chiar de neegalat. Cartile lui Alexandru Mitru nu se adreseaza in exclusivitate copiilor; adultii din prezent isi amintesc cu placere basmele si legendele mitologice povestite simplu, placut, dar cu acuratete de acesta.
Nunta in Cer	Mircea Eliade	9	2	3	2	6	https://www.goodreads.com/book/show/1711463.Nunt_n_cer?from_search=true&from_srp=true&qid=DM8Az2NsQx&rank=1	Un roman de idei, mai puţin livresc decât celelalte, şi un roman liric. Cadrul întâmplărilor descrise rămâne unul modern, citadin, în vreme ce relatările lor au loc într-un cadru montan, izolat. Avem de-a face, aşadar, cu o perspectivă „de sus” asupra trecutului personajelor şi cu o transfigurare a acestuia prin iubire şi prin suferinţa despărţirii. Prin Nuntă în Cer, Eliade se reconciliază de fapt cu melancolica Belle Époque a copilăriei sale, vehement respinsă de „adolescentul miop” şi de tânărul macho „apologet al virilităţii”. Este însă ceva mai mult decât atât, căci dacă Mavrodin şi Hasnaş reprezintă două variante de om modern, îndrăgostit de necunoscut şi atras de schimbare, Ileana încarnează un principiu tradiţional de stabilitate.
Divergent	Veronica Roth	7	1	3	10	1	https://www.goodreads.com/book/show/13335037-divergent?from_search=true&from_srp=true&qid=NVnRXTvbRt&rank=1	In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. For Beatrice, the decision is between staying with her family and being who she really is—she can't have both. So she makes a choice that surprises everyone, including herself. During the highly competitive initiation that follows, Beatrice renames herself Tris and struggles alongside her fellow initiates to live out the choice they have made. Together they must undergo extreme physical tests of endurance and intense psychological simulations, some with devastating consequences. As initiation transforms them all, Tris must determine who her friends really are—and where, exactly, a romance with a sometimes fascinating, sometimes exasperating boy fits into the life she's chosen. But Tris also has a secret, one she's kept hidden from everyone because she's been warned it can mean death. And as she discovers unrest and growing conflict that threaten to unravel her seemingly perfect society, she also learns that her secret might help her save those she loves . . . or it might destroy her.
